,Title,VideoID,ChannelID,Views,SubsCount,Views_to_Subs,Target,Cleaned_Titles
14,여행유튜버 캐럿맨의 추악한 실체 #1 - &quot;캐럿맨을 고소하겠습니다&quot;,RBxrvsKpQW4,UC7K6oztXq2RzXx43duKAl7g,249606,24800,10.064758064516129,1,여행유튜버 캐럿맨의 추악한 실체 1 quot 캐럿맨을 고소하겠습니다 quot
15,TVXQ-Travelog+Purpleline(동방신기-여행기+퍼플라인)@SBS Inkigayo 인기가요 200802024,uS07LdQ4QXU,UCS_hnpJLQTvBkqALgapi_4g,169287,7890000,0.02145589353612167,0,TVXQ Travelog Purpleline 동방신기 여행기 퍼플라인 SBS Inkigayo 인기가요 200802024
16,두 남자의 초호화 크루즈 여행기 - 제주(1),Dv2XQDs7k3k,UClRNDVO8093rmRTtLe4GEPw,3186391,1820000,1.7507642857142858,1,두 남자의 초호화 크루즈 여행기 제주 1
17,놀라운 물가! 미지의 산골도시 &#39;난(Nan)&#39; 탐방기,OCH9A_Qz0eQ,UCLaSjyJOedN2kONlILF_1Jw,58015,91600,0.6333515283842794,0,놀라운 물가 미지의 산골도시 39 난 Nan 39 탐방기
18,DBSK - 여행기(Traveling) [Han &amp; Eng],lqqF15XaDCo,UC_CtDe1rLFgqZF2MMd_fzAg,54261,97500,0.5565230769230769,0,DBSK 여행기 Traveling Han amp Eng
19,혼자 가도 계획이 없어도 재밌는 몽골 먹방 여행- 몽골1🇲🇳,kCU0nadSxYI,UC1uoQwHK5e5gw0CYdQeX5IA,579184,188000,3.0807659574468085,1,혼자 가도 계획이 없어도 재밌는 몽골 먹방 여행 몽골1
20,걸리버 여행기,FiFpOeM6ygk,UCq7R-_JkAY655HbiMIQewrQ,185004,73100,2.530834473324213,1,걸리버 여행기
21,2년전 나를 환대해준 공주 시골마을에 터키 여자친구를 데려가면 생기는일 🇰🇷,WnyYejfZveQ,UC_4hHKHUcs9bGpl_zDAOxvg,97369,457000,0.2130612691466083,0,2년전 나를 환대해준 공주 시골마을에 터키 여자친구를 데려가면 생기는일
22,🇯🇵 서른살에 퇴사해버린 친구들과 떠난 일본 소도시 여행기(ft. 돗토리현에서 보낸 3박4일),L-JcXu8rweM,UCugz3-UlkX2P77PtK1Ju0RA,265073,595000,0.44550084033613446,0,서른살에 퇴사해버린 친구들과 떠난 일본 소도시 여행기 ft 돗토리현에서 보낸 3박4일
23,알려지지 않은 걸리버 여행기 속 숨은 뒷이야기와 소름끼치는 설정들 [미스터리],QTU-dQsdjo4,UC_SgaM1zbb1Mibnsp6J0fJA,299879,639000,0.4692942097026604,0,알려지지 않은 걸리버 여행기 속 숨은 뒷이야기와 소름끼치는 설정들 미스터리
24,"역대급 풍경!! 시드니 헬기투어 | 본다이 비치 | 브론테 비치 - 시드니, 호주 | 호주&amp;뉴질랜드 여행[7]",lTqld3lVQfQ,UCQAX7iV0OjeIKc_fNucA5Ew,40325,66600,0.6054804804804805,0,역대급 풍경 시드니 헬기투어 본다이 비치 브론테 비치 시드니 호주 호주 amp 뉴질랜드 여행 7
25,[박하경 여행기] 서울부터 제주까지! 박하경이 가는 곳에는 우연한 만남이 생긴다✨| 5-8회 회차 요약 | 웨이브 오리지널,Lir7SAlmgVU,UCym5538xAEEppbridXozfgw,72336,372000,0.1944516129032258,0,박하경 여행기 서울부터 제주까지 박하경이 가는 곳에는 우연한 만남이 생긴다 5 8회 회차 요약 웨이브 오리지널
26,태연이의 밀라노 여행기,Wm2joJxoO-s,UC5z2fxN6rs69cSyXur6X6Mg,763868,1230000,0.6210308943089431,0,태연이의 밀라노 여행기
27,걸리버 여행기 (Gulliever&#39;s Travels) | 만화 | 세계명작동화,H7WVVEwWqkA,UCJ9geW2tpBzbLHNG_wE3lSA,167062,77300,2.1612160413971537,1,걸리버 여행기 Gulliever 39 s Travels 만화 세계명작동화
28,말라위 대학교 기숙사를 가보았습니다. 기름이 없는 상상이상의 빈국 &#39;말라위&#39; 7#45,G1-D4LCh1ZY,UCewTkRux7toL0N9dR9igLKg,29560,181000,0.16331491712707183,0,말라위 대학교 기숙사를 가보았습니다 기름이 없는 상상이상의 빈국 39 말라위 39 7 45
29,동화로 오해받는 걸리버여행기의 엽기적인 후반부 (천공의성 라퓨타 그리고 야후),gHD8M3lPGMI,UCfU5N61VKvMJUsUzfaqk0Hg,1980750,520000,3.8091346153846155,1,동화로 오해받는 걸리버여행기의 엽기적인 후반부 천공의성 라퓨타 그리고 야후
30,릴러말즈 (Leellamarz) - Trip (Feat. Hannah) [Trip]ㅣLyrics/가사,SHXELbXdNlg,UCGuE0TrBNIZKfordUwAQe2w,2517986,379000,6.643762532981531,1,릴러말즈 Leellamarz Trip Feat Hannah Trip Lyrics 가사
31,Trip (Feat. Hannah),5C-UzW1FLiA,UCoV8L_tyJqZoRh51f-2ylhQ,13769897,36800,374.18198369565215,1,Trip Feat Hannah
32,Leellamarz (릴러말즈) - Trip (바이올린 연주 Ver) @ Leellamarz Marz 2 Ambition Show,qEG7DaruWFo,UCko1k258OSms8NqBTQd1EBQ,909483,29300,31.04037542662116,1,Leellamarz 릴러말즈 Trip 바이올린 연주 Ver Leellamarz Marz 2 Ambition Show
33,릴러말즈(Leellamarz) - Trip(Feat .Hannah) 1시간(1hour),1iCf9cZswtM,UCFvNOsLJJD6g8dL1WT1bRwA,445508,22400,19.88875,1,릴러말즈 Leellamarz Trip Feat Hannah 1시간 1hour
34,[EBS 스페이스 공감] 릴러말즈 - Trip (feat. Milena),KJbPIWUSJ_c,UCmD_hRhMgxsf5e-6cEuxjSg,619796,72600,8.537134986225896,1,EBS 스페이스 공감 릴러말즈 Trip feat Milena
35,릴러말즈(Leellamarz) - 시한부 + 단추 + Trip | [사운드인더랩] 황홀한 오케스트라 세션 라이브,8IgYauEnnO4,UCviI9lzTe2pkxJ9M2ArA7WQ,1568116,2160000,0.7259796296296296,0,릴러말즈 Leellamarz 시한부 단추 Trip 사운드인더랩 황홀한 오케스트라 세션 라이브
36,Ella Mai - Trip (Audio),JfGD75vHWrU,UCdVlI3zsHhvKKH4OEQVHyHA,284114004,258000,1101.217069767442,1,Ella Mai Trip Audio
37,릴러말즈(Leellamarz) - Trip 가사 Lyrics,9lTEtAgVynU,UCmwNKKcYQDsPdDTaXM5zFiA,3725310,1560,2388.019230769231,1,릴러말즈 Leellamarz Trip 가사 Lyrics
38,"공트립 스페인 여행 #3 세비야 현지 민박 체험기??! 츄러스 세계 1등, 메트로폴파라솔, 타파스, 스페인광장",zBnQ9QOKWu4,UCQPBl3XRz9adlIzWlxI1eiQ,128,12,10.666666666666666,1,공트립 스페인 여행 3 세비야 현지 민박 체험기 츄러스 세계 1등 메트로폴파라솔 타파스 스페인광장
39,Jacquees - Trip • 한글자막/노래해석,BR3DWCiB_gw,UCwfk-mmRH1C_gsRjCb-g7Fw,658873,4560,144.48969298245615,1,Jacquees Trip 한글자막 노래해석
40,릴러말즈 - Trip LIVE at HIPHOPPLAYA FESTIVAL 2023,hVPZA-C3ags,UCfGuIKX_qYB3YVTg_bhGBwg,46555,240000,0.19397916666666667,0,릴러말즈 Trip LIVE at HIPHOPPLAYA FESTIVAL 2023
42,[11화] 반달들이 건들지 못한다는 목포 &amp; 다윗을 꿈꾸는 목젖 브레이커 전주 ㅣZombie Trip 3: Road to ZOMBIE ROYAL,m0OjRu1YBQY,UCc7o0OkR2BDFN4TCgPChjEw,918686,1100000,0.8351690909090909,1,11화 반달들이 건들지 못한다는 목포 amp 다윗을 꿈꾸는 목젖 브레이커 전주 Zombie Trip 3 Road to ZOMBIE ROYAL
43,[1시간/1hour] Trip (feat.Hannah) - 릴러말즈 - 릴러말즈 파트,7sjXpoRVZQE,UC1hdsihz2NoU_QhYs9JGfog,18303,158,115.84177215189874,1,1시간 1hour Trip feat Hannah 릴러말즈 릴러말즈 파트
45,[12화] 인상 때문에 매번 시비가 걸렸다는 광주 &amp; 좀비가 되기 위해 전주에서 온 우즈벡ㅣZombie Trip 3: Road to ZOMBIE ROYAL,VWI-kfAcWDQ,UCc7o0OkR2BDFN4TCgPChjEw,866712,1100000,0.78792,0,12화 인상 때문에 매번 시비가 걸렸다는 광주 amp 좀비가 되기 위해 전주에서 온 우즈벡 Zombie Trip 3 Road to ZOMBIE ROYAL
46,[1화] 대구 도깨비 복수하러 온 강동 &amp; 하도 싸워 술집 입뺀 당한 홍대ㅣZombie Trip 3: Road to ZOMBIE ROYAL,zaaNqeBTOhY,UCc7o0OkR2BDFN4TCgPChjEw,1561123,1100000,1.4192027272727272,1,1화 대구 도깨비 복수하러 온 강동 amp 하도 싸워 술집 입뺀 당한 홍대 Zombie Trip 3 Road to ZOMBIE ROYAL
47,Jacquees - Trip (official audio),7LFycuPVpuY,UCDiuS2C88BXiX32qFqG93SA,19579247,10900,1796.2611926605505,1,Jacquees Trip official audio
48,포브스 선정 2019년 최고의 떼창,p5PFXKxAMzg,UCko1k258OSms8NqBTQd1EBQ,1701920,29300,58.08600682593857,1,포브스 선정 2019년 최고의 떼창
49,[KIKI TRIP] EP.6 Happy Bongsook day 🐶ㅣ봉숙 공주님의 생일파티에 초대합니다 ˚ෆ*₊,JqYTo8NLO9Q,UCZvCP6sWj75MwpUP4LVtpNw,37071,2570000,0.014424513618677044,0,KIKI TRIP EP 6 Happy Bongsook day 봉숙 공주님의 생일파티에 초대합니다
50,Ella Mai - Trip,W16bk86xIY0,UCdVlI3zsHhvKKH4OEQVHyHA,138729519,258000,537.7113139534883,1,Ella Mai Trip
51,[2화] 격투 만화에 영감받는 까치산 &amp; 싸움 터지면 호출 1순위 신림ㅣZombie Trip 3: Road to ZOMBIE ROYAL,DRI3RHCCmaE,UCc7o0OkR2BDFN4TCgPChjEw,1228619,1100000,1.1169263636363636,1,2화 격투 만화에 영감받는 까치산 amp 싸움 터지면 호출 1순위 신림 Zombie Trip 3 Road to ZOMBIE ROYAL
52,[13화] &#39;파괴왕&#39; 면전에 도발하는 성남 &amp; 아가리 파이터 오명 씻으러 온 시흥ㅣZombie Trip 3: Road to ZOMBIE ROYAL,J5h9kIIGzlA,UCc7o0OkR2BDFN4TCgPChjEw,819603,1100000,0.7450936363636363,0,13화 39 파괴왕 39 면전에 도발하는 성남 amp 아가리 파이터 오명 씻으러 온 시흥 Zombie Trip 3 Road to ZOMBIE ROYAL
53,NCT 127 엔시티 127 &#39;Road Trip&#39; Track Video #3,LNwQLJaT_a8,UCk2E0dbAyEJWnrN2bbQOcbg,4302238,5550000,0.775178018018018,0,NCT 127 엔시티 127 39 Road Trip 39 Track Video 3
54,Ep 1. 아날로그 트립 여행의 실체  | Analog Trip (아날로그 트립),ioWAoEVYaP0,UCEf_Bc-KVd7onSeifS3py9g,10688644,32300000,0.3309177708978328,0,Ep 1 아날로그 트립 여행의 실체 Analog Trip 아날로그 트립
55,보너스 영상 #3 | 아날로그 트립 (Analog Trip NCT 127: Escape From Magic Island),axpxtlwRwzA,UCk2E0dbAyEJWnrN2bbQOcbg,636414,5550000,0.11466918918918918,0,보너스 영상 3 아날로그 트립 Analog Trip NCT 127 Escape From Magic Island
56,[#원나잇푸드트립] (1시간) 두 발로 걸어다니는 고기 먹는 하마 현주엽🦛 1박 2일동안 캄보디아 음식 다 털고 온 먹보스의 먹방 | #나중에또볼동영상,6k9L9ZgBt0U,UCWYzc_p0GgfCepIWDHGFmEg,336024,3380000,0.09941538461538461,0,원나잇푸드트립 1시간 두 발로 걸어다니는 고기 먹는 하마 현주엽 1박 2일동안 캄보디아 음식 다 털고 온 먹보스의 먹방 나중에또볼동영상
57,"릴러말즈의 킬링벌스를 라이브로! / 두 개였으면 해, 방에 혼자 있을 때, namchin, Trip, 야망, 비워, 1, Kick that, 도시생활",3vpUarAbmFI,UCviI9lzTe2pkxJ9M2ArA7WQ,10875016,2160000,5.03472962962963,1,릴러말즈의 킬링벌스를 라이브로 두 개였으면 해 방에 혼자 있을 때 namchin Trip 야망 비워 1 Kick that 도시생활
58,그냥 레전드인 릴러말즈 trip 떼창,bQEyjtzgCZU,UCtR4fVDkNuDKuT8j1yV5QkA,109913,71,1548.0704225352113,1,그냥 레전드인 릴러말즈 trip 떼창
59,[10화] 십이천인이며 팔부신중이며 사천왕이신 비사문천을 섬기는 구미ㅣZombie Trip 3: Road to ZOMBIE ROYAL,EAu3pjBsPE8,UCc7o0OkR2BDFN4TCgPChjEw,1111801,1100000,1.010728181818182,1,10화 십이천인이며 팔부신중이며 사천왕이신 비사문천을 섬기는 구미 Zombie Trip 3 Road to ZOMBIE ROYAL
60,"🌄 세계 3대 등산/백패킹 배낭 종류, 장단점, 역사, 사이즈│오스프리, 그레고리, 도이터│등산배낭추천│백패킹배낭추천│등산유튜버│아웃도어큐레이터",NtuAaaqBi5M,UCXzEKxrYQTe6h_2mZK7AszQ,286269,40900,6.999242053789731,1,세계 3대 등산 백패킹 배낭 종류 장단점 역사 사이즈 오스프리 그레고리 도이터 등산배낭추천 백패킹배낭추천 등산유튜버 아웃도어큐레이터
61,백패킹 배낭 중복투자 가이드! 6종의 용량별 배낭 구입 연대기 | 툴레 | 노스페이스 | 몽벨 | 야마토미치 | 버그하우스,ZvFSq2hc964,UC9bXhgRhpkzZXo4E9GaE7qA,38974,1090,35.75596330275229,1,백패킹 배낭 중복투자 가이드 6종의 용량별 배낭 구입 연대기 툴레 노스페이스 몽벨 야마토미치 버그하우스
62,[인스팅트 배낭] 그냥 착용하지 마세요!!!  내 몸에 &#39;착붙&#39;하게 메는 방법 / 인스팅트 18리터의 수납력과 크기 비교,L2_BV4IFR0M,UC5mw63Yj12G7dD-fb-QOSEw,82657,107000,0.7724953271028038,0,인스팅트 배낭 그냥 착용하지 마세요 내 몸에 39 착붙 39 하게 메는 방법 인스팅트 18리터의 수납력과 크기 비교
63,2023년 불티나게 팔린 등산배낭 추천순위 TOP10,PYILd3v_l3M,UCCadBjYJlCIBf7gbaP2t0pA,26902,21300,1.2630046948356808,1,2023년 불티나게 팔린 등산배낭 추천순위 TOP10
64,등산배낭 20개 있는 여자가 정리해줌! (사이즈 별 등산가방),KFMe-suE3Iw,UCwc5yW-HBQrYnkPEI8kRl8w,145278,251000,0.578796812749004,0,등산배낭 20개 있는 여자가 정리해줌 사이즈 별 등산가방
65,혁신적인 등산배낭 출시! 단 하나의 배낭만 살 수 있다면 이걸로.,jr2BiOUGeL8,UCZh5CBGgwKzCGzAUEMnIt9Q,845131,1160,728.5612068965518,1,혁신적인 등산배낭 출시 단 하나의 배낭만 살 수 있다면 이걸로
66,내돈내산 가성비 등산배낭! 올 여름 하나만 산다면 강력 추천합니다!!,FPOsEJ-xQVs,UCwc5yW-HBQrYnkPEI8kRl8w,114248,251000,0.45517131474103584,0,내돈내산 가성비 등산배낭 올 여름 하나만 산다면 강력 추천합니다
67,👶아기 백패커 승윤이! 중수의 백패킹 배낭 훔쳐보기 ⛰️🎒 | 승윤이의 백패킹 입문기 | 백패킹의 모든 것,bftdnm3p46Q,UCA_Jls3B5bUhoz_tXhD9hlw,186945,84600,2.2097517730496454,1,아기 백패커 승윤이 중수의 백패킹 배낭 훔쳐보기 승윤이의 백패킹 입문기 백패킹의 모든 것
68,Create a leather backpack with ostrich patterned leather#shorts  #bagmaking   #leather #handmade,HpUBeSoKoMI,UCDJzP6yXs9ZMdweU7zIXFUA,732,27500,0.02661818181818182,0,Create a leather backpack with ostrich patterned leather shorts bagmaking leather handmade
69,P1Harmony (피원하모니) – &#39;배낭여행 (Better Together)&#39; Our Home ver.,3bWSouYCtH0,UCe-XzQhLaq4zS_mPXzuc_2Q,137768,973000,0.14159095580678316,0,P1Harmony 피원하모니 39 배낭여행 Better Together 39 Our Home ver
70,경량 등산가방 추천! 아무거나 사실 분은 그냥 가세요! 2023년 역대급 가성비 인기 최신순위 업데이트 best5,2KU-PRJhS10,UCUj0O1wFQUEEsYYvkWScfuA,28905,138000,0.20945652173913043,0,경량 등산가방 추천 아무거나 사실 분은 그냥 가세요 2023년 역대급 가성비 인기 최신순위 업데이트 best5
71,(솔직리뷰) 하나만 산다면 무조건 추천합니다.,-2p-r4KHu3o,UCwc5yW-HBQrYnkPEI8kRl8w,272343,251000,1.0850318725099601,1,솔직리뷰 하나만 산다면 무조건 추천합니다
72,도이터 배낭 추천 2023년 이거 하나로 끝내시죠! 역대급 가성비 인기 최신순위 best 업데이트,t09yk7cv__w,UCUj0O1wFQUEEsYYvkWScfuA,14759,138000,0.10694927536231884,0,도이터 배낭 추천 2023년 이거 하나로 끝내시죠 역대급 가성비 인기 최신순위 best 업데이트
73,ENG SUB)세계적으로 대히트친 여행용 백팩 - 노매틱 트래블 백팩을 메고 실제 여행을 다녀와보았다! 진짜 좋은점과 치명적인 단점은?,m5R36M8CKOA,UC3bpSCEcyeR3G_eip8Wpb1g,2147512,350000,6.1357485714285716,1,ENG SUB 세계적으로 대히트친 여행용 백팩 노매틱 트래블 백팩을 메고 실제 여행을 다녀와보았다 진짜 좋은점과 치명적인 단점은
74,🌄 등산/백패킹/여행 배낭 스마트하게 고르고 패킹하는 진짜 노하우!,l5pjFQwnfJ8,UCXzEKxrYQTe6h_2mZK7AszQ,92446,40900,2.2602933985330074,1,등산 백패킹 여행 배낭 스마트하게 고르고 패킹하는 진짜 노하우
76,P1Harmony (피원하모니) - ‘배낭여행 (Better Together)’ (@5th Mini Album &#39;HARMONY : SET IN&#39; COUNTDOWN SHOWCASE),HJ-z9TOjFkU,UCe-XzQhLaq4zS_mPXzuc_2Q,72304,973000,0.0743103802672148,0,P1Harmony 피원하모니 배낭여행 Better Together 5th Mini Album 39 HARMONY SET IN 39 COUNTDOWN SHOWCASE
77,💪사나이 가슴을 뛰게 하는... 미스테리랜치에서 백패킹용 배낭 구매했습니다🫡 | 가산 백패커스라운지,AFFGjcTyFsg,UCA_Jls3B5bUhoz_tXhD9hlw,98751,84600,1.1672695035460994,1,사나이 가슴을 뛰게 하는 미스테리랜치에서 백패킹용 배낭 구매했습니다 가산 백패커스라운지
78,"방수력 끝판 배낭 도이터 버트레일 16 [2022 ISPO 수상] / 계곡트레킹, 종주배낭, 스피드 하이킹용",oKT7b4Auqbc,UCih19GxFWaXA66yCFDkRwQg,21836,55800,0.39132616487455196,0,방수력 끝판 배낭 도이터 버트레일 16 2022 ISPO 수상 계곡트레킹 종주배낭 스피드 하이킹용
79,등산배낭 에 등산스틱 부착하는팁,PN28KHLjJkY,UC2bp8R6rjQUYDPZssmZx4og,88484,18200,4.861758241758242,1,등산배낭 에 등산스틱 부착하는팁
80,4k 당일 등산에서 종주 백패킹까지 되는 다양한 배낭들 비교 | 20~30대 유행 배낭? | 이효리 배낭 | 그레고리 데이팩 | 도이터 어센더 13 | 블다 디스턴스 8 |,sOELwtSIovw,UCvPBYAL9MnknSUKVqeXCERw,61432,11800,5.2061016949152545,1,4k 당일 등산에서 종주 백패킹까지 되는 다양한 배낭들 비교 20 30대 유행 배낭 이효리 배낭 그레고리 데이팩 도이터 어센더 13 블다 디스턴스 8
81,등산 배낭이 크면 좋은 이유ㅣ등산배낭각잡기ㅣ배낭 각 세우기ㅣ등산배낭꾸리기ㅣ등산준비물 ㅣ등산배낭크기ㅣ등산배낭사이즈ㅣ등산배낭추천,VHBqTOGc9gY,UCXzEKxrYQTe6h_2mZK7AszQ,44485,40900,1.0876528117359414,1,등산 배낭이 크면 좋은 이유 등산배낭각잡기 배낭 각 세우기 등산배낭꾸리기 등산준비물 등산배낭크기 등산배낭사이즈 등산배낭추천
82,등산배낭추천 피엘라벤 싱기 28 &amp; 아비스코 라이트 트레킹 자켓 우먼 구매했어요! fjallraven singi 28 &amp;ABISKO Lite Trekking Jacket,qu85D0sUN5c,UCXkuCjImYLNlKneNBepWd-Q,27475,3930,6.9910941475826975,1,등산배낭추천 피엘라벤 싱기 28 amp 아비스코 라이트 트레킹 자켓 우먼 구매했어요 fjallraven singi 28 amp ABISKO Lite Trekking Jacket
83,배낭 살빠지는 영상 / 경량 백팩 3대장 비교 추천,THvMHL6bpbg,UCViCpdE7p7P9qxyjXImrHTQ,22575,3810,5.925196850393701,1,배낭 살빠지는 영상 경량 백팩 3대장 비교 추천
84,요즘 제일 잘 나가는 경량 등산 가방. 이 가방이 그렇게 좋다고? 트레일러닝 배낭을 사람들이 좋아하는 이유! 등산 백팩 하나만 사야 한다면 ? 오니지 등산가방,_381eBdNjRY,UCDVUVn1-LgD6sqmoL4jpPPA,27558,480,57.4125,1,요즘 제일 잘 나가는 경량 등산 가방 이 가방이 그렇게 좋다고 트레일러닝 배낭을 사람들이 좋아하는 이유 등산 백팩 하나만 사야 한다면 오니지 등산가방
85,"아크테릭스,블랙다이아몬드,피엘라벤,클라터뮤젠  하루만에 다 돌아다님. 25명에게 추천받은 등산가방 직접 메보고 사기",odeu9z0BrGk,UCG__bGNQAo0_7OoV5afGjMw,35403,746,47.457104557640754,1,아크테릭스 블랙다이아몬드 피엘라벤 클라터뮤젠 하루만에 다 돌아다님 25명에게 추천받은 등산가방 직접 메보고 사기
87,(SUB)이 가격에 이렇게 좋은 등산 백팩을 살 수 있다고?? l 배낭 구입 전 필수 시청 l 데카트론 등산 백팩,jDGV4GxqqBE,UCUJTk0fJAHySQhgO6guBWTA,39647,37000,1.0715405405405405,1,SUB 이 가격에 이렇게 좋은 등산 백팩을 살 수 있다고 l 배낭 구입 전 필수 시청 l 데카트론 등산 백팩
88,언제든 닥칠 수 있는 재난...&#39;생존 배낭&#39;은 이렇게 / YTN,Z8WRusPhqKk,UChlgI3UHCOnwUGzWzbJ3H5w,29894,4350000,0.006872183908045977,0,언제든 닥칠 수 있는 재난 39 생존 배낭 39 은 이렇게 YTN
89,[박영준TV] 저렴하고 등판이 시원한 소형 배낭 |  도이터 AC Lite 24,heleGmha8J8,UCSN4Do-FVaOlXRB92B2BtLg,24727,45700,0.5410722100656455,0,박영준TV 저렴하고 등판이 시원한 소형 배낭 도이터 AC Lite 24
90,[Playlist] 우리 나중에 파리 여행 가면 에펠탑 보면서 같이 듣자,1yXZIFYv4SE,UCKxknVfRWj3YKZuE_qiWZ4Q,9344107,797000,11.724099121706399,1,Playlist 우리 나중에 파리 여행 가면 에펠탑 보면서 같이 듣자
91,"[playlist] 사랑이 머무는 곳, 파리 with 미셸 들라크루아",LQ6EahmtDCk,UCweFCeE7R38-pvPl6RifWpw,350159,744000,0.4706438172043011,0,playlist 사랑이 머무는 곳 파리 with 미셸 들라크루아
92,🇫🇷 최애 도시가 파리인 여성의 나홀로 파리 여행 브이로그 1편 | 낭만 가득 파리지앵 따라잡기,tv0TNaqEw4A,UCl3J7K9_0-puWyARcRogo8w,1658,381,4.351706036745407,1,최애 도시가 파리인 여성의 나홀로 파리 여행 브이로그 1편 낭만 가득 파리지앵 따라잡기
93,파리가 아닌 서울에 살고 있는 이유,Px_npxNNRSI,UCqH1ZFdimCKiDzAMB5tFpTg,3984773,424000,9.398049528301886,1,가 아닌 서울에 살고 있는 이유
94,📍파리 핵심 지리 한방 정리 + 몽마르뜨 언덕에 가는 3가지 방법 🇫🇷 파리 09,7vuyX6ldKgE,UCvW8norVMTLt7QN-s2pS4Bw,264885,1710000,0.15490350877192982,0,파리 핵심 지리 한방 정리 뜨 언덕에 가는 3가지 방법 파리 09
95,이것만 보면 파리 완전 정복! &#39;프랑스&#39; 여행｜KBS 방송,EuqPhwqGi_E,UCFw4M1BJYYdN1YtS8SzlDzg,12309,784000,0.015700255102040817,0,이것만 보면 파리 완전 정복 39 프랑스 39 여행 KBS 방송
96,파리 여행코스 완벽 총정리! 초심자부터 n번째 여행자까지 모두 만족시키는 영상,QetTbhRcEME,UC98aniwMMryBGhwOsvmsqQQ,122862,43200,2.844027777777778,1,파리 여행코스 완벽 총정리 초심자부터 n번째 여행자까지 모두 만족시키는 영상
